V1,V2
Q72547,Q72547
Q72547,Q72547
Q72547,Q72547
Q90VU7,Q900A7
Q4ZGA4,Q12959
Q7LYY4,P17535
Q7LYY4,P17535
Q7LYY4,P17535
Q7LYY4,P17535
Q2Q067,Q13015
Q2Q067,Q15287
Q2Q067,O95251
Q2Q067,P32243
Q2Q067,P31249
Q2Q067,P02794
Q2Q067,Q15365
Q2Q067,Q9UH92
Q2Q067,Q9HD26
Q2Q067,Q15038
Q2Q067,Q13015
Q2Q067,O95251
Q2Q067,P02794
Q2Q067,Q15287
Q2Q067,Q15038
Q2Q067,Q9UH92
Q2Q067,Q9HD26
Q2Q067,Q15365
Q2Q067,P31249
Q2Q067,P32243
Q2Q067,P02794
Q2Q067,Q9UH92
Q90VU7,P08631
Q90VU7,P12931
Q90VU7,P06239
Q90VU7,P08631
Q90VU7,P07948
Q90VU7,P07947
Q90VU7,P06241
Q90VU7,Q14155
Q90VU7,Q15052
Q90VU7,P16333
Q8TEJ3,Q90VU7
Q72547,P68400
intact:EBI-7355238,P07948
intact:EBI-7355238,P08631
intact:EBI-7355238,P06241
intact:EBI-7355238,P12931
intact:EBI-7355238,P08631
intact:EBI-7355238,P07948
intact:EBI-7355238,P06241
intact:EBI-7355238,P12931
intact:EBI-7355238,P08631
O09528,P01730
O09528,Q9Y297
Q900A7,P08107
P03346,Q9UBB9
P03346,Q8N448
P03346,Q07687
P03383,O43513
P03346,Q53G59
P03346,Q719H9
P03363,P19012
P03363,Q9UBB9
P03363,Q6P597
P03363,Q93062
P03363,O60504
P03346,Q12933
Q85601,Q8N448
Q85601,Q8N448
Q85601,Q96FJ2
Q85601,O43186
P03363,Q13064
P03363,Q8IYF3
P03363,O14770
P03410,Q9Y2D8
Q85601,P23497
Q85601,Q9GZT8
Q85601,Q9NZD8
Q85601,P37198
P03410,Q01844
P03410,P26196
P03410,Q8WW24
P03410,Q8N4L8
P03410,Q96FJ2
P03410,O43186
P03410,Q9UK41
P03410,Q6PEX3
P03410,P19012
P03410,Q9NP87
P03410,P37198
P03410,Q8N448
P03410,Q8N448
P03410,Q6ZUT1
P03410,Q96HA8
P03410,Q9P0T4
P03410,Q66PJ3
P03410,Q9NZD8
P03410,P82932
P03410,Q9GZT8
P03410,A8K1J0
P03410,P23497
P03410,P35711
P03410,P14672
P03410,Q8N5F7
P03410,Q96CN9
P03410,Q05516
P03410,Q8NHQ1
P03410,Q96MT8
P03410,Q96MT8
P03410,Q53HC0
P03410,Q6ZVK8
P03410,Q8N883
P03410,Q6ZVK8
